priority,project,category,priority,frequency,task,link
high,berachain,testnet,high,everyday,claim_faucet,https://artio.faucet.berachain.com/
high,berachain,testnet,low,everyday,claim_faucet,https://faucet.0xhoneyjar.xyz/
high,berachain,testnet,low,monday,swap,https://artio.bex.berachain.com/swap
high,berachain,testnet,medium,monday,swap,https://berachain.algebra.finance/swap
high,berachain,testnet,high,thursday,provide_lp,https://artio.bex.berachain.com/pool
high,berachain,testnet,medium,thursday,provide_lp,https://berachain.algebra.finance/pools
high,berachain,testnet,low,tuesday,mint,https://www.bera404.com/
high,berachain,testnet,high,tuesday,mint,https://faucet.0xhoneyjar.xyz/mint
high,berachain,testnet,high,everyday,quests,https://faucet.0xhoneyjar.xyz/quests
medium,fuel,testnet,high,everyday,claim_faucet,https://faucet-beta-4.fuel.network/?
medium,fuel,testnet,low,sunday,bridge,https://alpha.fuel.network/bridge/
medium,memefi,testnet,high,everyday,play_game,https://www.memefi.club/game/
low,gibrator,testnet,low,everyday,claim_faucet,https://vienna.caldera.dev/faucet
low,gibrator,testnet,low,everyday,claim_faucet,http://milan.caldera.dev/faucet
low,gibrator,testnet,low,sunday,bridge,http://vienna.calderabridge.xyz/
low,gibrator,testnet,low,sunday,bridge,http://milan-gibraltar.calderabridge.xyz
high,metis_journey,testnet,low,monday,quests,https://decentralize.metis.io/
low,tunachain,testnet,low,monday,quests,https://tunachain.io/points
low,tunachain,testnet,high,everyday,claim_faucet,https://coinfaucet.eu/en/btc-testnet/
